pos,url,name,points,team,team points,best,race count,win count,2nd count,3rd count
1,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,280,RASIO RACING,185,1,3,1,0,0
2,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,275,RASIO RACING,192,1,3,1,0,0
3,https://rgtdb.com/user/39166,Ned Bowen,273,TRANSATLANTIC RAIDERS,273,3,3,0,0,1
4,https://rgtdb.com/user/132783,Mathias  Bergkvist,266,,0,2,3,0,1,0
5,https://rgtdb.com/user/160071,Wouter Claes,260,MOON RIDERS,260,5,3,0,0,0
6,https://rgtdb.com/user/79121,James Melville,258,GLASGOW UNITED CC,258,9,3,0,0,0
7,https://rgtdb.com/user/79305,Carlos Cela,258,,0,2,3,0,1,0
8,https://rgtdb.com/user/17957,Tom Gakes [drft],256,TEAM BTR,89,9,3,0,0,0
9,https://rgtdb.com/user/78811,Christophe Contant[pdl],253,PEDALERS,159,7,3,0,0,0
10,https://rgtdb.com/user/35315,Mike Lister,246,TRANSATLANTIC RAIDERS,246,12,3,0,0,0
11,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,244,RASIO RACING,96,5,3,0,0,0
12,https://rgtdb.com/user/112364,Stefan Kruger sanz,243,TEAM SANZ,243,4,3,0,0,0
13,https://rgtdb.com/user/103369,Kader Allouni,242,TEAM POCOMOTION (BLIGHTY),242,1,3,1,0,0
14,https://rgtdb.com/user/193520,David Ellis (c) m,238,,0,10,3,0,0,0
15,https://rgtdb.com/user/61282,Daniel Neugebauer,238,PEDALERS,173,14,3,0,0,0
16,https://rgtdb.com/user/134803,Steve Mayes (m),232,,0,19,3,0,0,0
17,https://rgtdb.com/user/66009,Jurgen Janssens,223,PEDALERS,79,22,3,0,0,0
18,https://rgtdb.com/user/171850,Eduardo Juez,221,,0,19,3,0,0,0
19,https://rgtdb.com/user/175915,Kristen Ege,219,TEAM POCOMOTION (VIKINGS),219,7,3,0,0,0
20,https://rgtdb.com/user/95553,J. Sammut (a),215,TEAM POCOMOTION (BLIGHTY),215,8,3,0,0,0
21,https://rgtdb.com/user/141761,Alasdair Mcalpine,214,GLASGOW UNITED CC,214,10,3,0,0,0
22,https://rgtdb.com/user/21747,Matthew Feely,207,,0,22,3,0,0,0
23,https://rgtdb.com/user/56133,Peter Austin (bcc),201,,0,28,3,0,0,0
24,https://rgtdb.com/user/178580,Timo Achenbach,188,MOON RIDERS,116,29,3,0,0,0
25,https://rgtdb.com/user/155757,"Jan Linden, vd",187,,0,5,2,0,0,0
26,https://rgtdb.com/user/168564,Marcus Garwood (o),186,,0,31,3,0,0,0
27,https://rgtdb.com/user/228203,Thijmen Cornelissens,185,,0,36,3,0,0,0
28,https://rgtdb.com/user/128814,Tim Cummins,180,WESTERLEY TWO,180,28,3,0,0,0
29,https://rgtdb.com/user/67054,Johan Oelofse sanz,176,TEAM SANZ,88,13,2,0,0,0
30,https://rgtdb.com/user/171135,Tomasz (m) Poniatowski,175,MOON RIDERS,86,15,3,0,0,0
31,https://rgtdb.com/user/127225,Kenneth Vansina[pdl],171,PEDALERS,0,42,3,0,0,0
32,https://rgtdb.com/user/6305,Mike Ade,164,,0,35,3,0,0,0
33,https://rgtdb.com/user/36792,Francois Iker,161,,0,17,2,0,0,0
34,https://rgtdb.com/user/70138,Andrew Beale,154,WESTERLEY TWO,110,41,3,0,0,0
35,https://rgtdb.com/user/162587,Pedro Reis,153,,0,39,3,0,0,0
36,https://rgtdb.com/user/87547,Nick Beale,150,,0,11,2,0,0,0
37,https://rgtdb.com/user/126796,Simon Miller sdw,149,SOUTHBOROUGH (SDW) BEES,149,21,2,0,0,0
38,https://rgtdb.com/user/65709,Ian stephens Sdw (0),149,SOUTHBOROUGH (SDW) SKEETERS,149,37,3,0,0,0
39,https://rgtdb.com/user/94990,Danie  Steyn sanz,148,TEAM SANZ,68,21,2,0,0,0
40,https://rgtdb.com/user/175441,Tomas Nygren,147,,0,37,3,0,0,0
41,https://rgtdb.com/user/197451,Chris (otr) Hopkinson(m),143,,0,27,2,0,0,0
42,https://rgtdb.com/user/86973,David wcc Buckley wcc,137,WESTERLEY ONE,97,49,3,0,0,0
